stn,year,month,day,temp,slp
722874,2015,02,27,62.3,9999.9
722874,2015,06,08,69.5,1010.2
722874,2015,01,11,58.2,1016.4
722874,2015,01,15,60.8,1022.6
722874,2015,01,28,62.9,1020.3
722874,2015,01,29,66.4,1017.0
722874,2015,01,31,61.9,1011.2
722874,2015,02,06,61.9,1018.0
722874,2015,02,12,70.7,1018.0
722874,2015,02,17,62.5,1017.4
722874,2015,03,09,62.7,1014.4
722874,2015,03,11,64.8,1016.5
722874,2015,03,22,63.9,1020.3
722874,2015,03,26,73.7,1016.7
722874,2015,03,28,69.6,1016.8
722874,2015,03,30,64.9,1015.6
722874,2015,04,03,68.1,1016.1
722874,2015,04,04,71.6,1013.4
722874,2015,04,12,64.4,1012.9
722874,2015,04,19,64.0,1013.5
722874,2015,04,21,61.5,1012.4
722874,2015,04,26,62.6,1013.3
722874,2015,05,01,69.0,1011.0
722874,2015,05,02,68.2,1010.6
722874,2015,05,03,64.4,1011.6
722874,2015,05,05,61.2,1014.8
722874,2015,05,08,56.5,1012.6
722874,2015,05,14,60.0,1012.3
722874,2015,05,16,61.5,1013.4
722874,2015,05,17,63.5,1015.8
722874,2015,05,19,63.1,1017.1
722874,2015,05,20,62.7,1014.4
722874,2015,05,28,63.3,1014.7
722874,2015,05,29,64.9,1013.4
722874,2015,05,30,64.9,1013.0
722874,2015,05,31,64.2,1013.0
722874,2015,06,07,66.0,1011.2
722874,2015,06,18,69.1,1012.7
722874,2015,06,21,72.0,1011.8
722874,2015,06,24,71.7,1011.4
722874,2015,07,02,73.5,1013.8
722874,2015,07,08,68.8,1011.5
722874,2015,07,15,71.2,1011.7
722874,2015,07,18,70.2,1012.3
722874,2015,07,27,72.0,1012.4
722874,2015,07,30,73.1,1014.5
722874,2015,08,18,74.6,1012.6
722874,2015,08,26,80.0,1012.9
722874,2015,09,06,74.0,1012.0
722874,2015,09,11,83.6,1010.7
722874,2015,09,14,76.0,1008.6
722874,2015,09,24,76.5,1010.6
722874,2015,09,28,75.6,1010.0
722874,2015,10,01,75.6,1010.7
722874,2015,10,04,69.2,1002.5
722874,2015,10,13,84.4,1014.4
722874,2015,10,15,75.1,1012.8
722874,2015,10,25,74.6,1011.7
722874,2015,10,29,74.0,1008.3
722874,2015,11,05,59.9,1019.6
722874,2015,11,12,61.2,1018.7
722874,2015,11,13,62.9,1014.7
722874,2015,11,16,56.7,1013.8
722874,2015,11,23,68.4,1012.3
722874,2015,12,04,59.2,1017.8
722874,2015,12,07,64.9,1019.9
722874,2015,12,09,64.4,1016.2
722874,2015,12,10,58.7,1014.9
722874,2015,12,22,56.9,1013.2
722874,2015,12,27,48.5,1023.0
722874,2015,12,28,47.0,1016.3
722874,2015,12,29,50.9,1013.1
722950,2015,01,05,60.7,1023.9
722950,2015,01,07,64.8,1019.5
722950,2015,01,11,56.4,1016.2
722950,2015,01,16,60.7,1021.4
722950,2015,01,26,67.4,1015.6
